Age,nx,Birth rate (bx),qx,sx,lx,nx,nt+1,nt+2,nt+3,nt+4,nt+5,nt+6,nt+7,nt+8,nt+9,nt+10,nt+11,nt+12,nt+13,nt+14,nt+15,nt+16,nt+17,nt+18,nt+19,nt+20,nt+21,nt+22,nt+23,nt+24,nt+25,nt+26,nt+27,nt+28,nt+29,nt+30,nt+31,nt+32,nt+33,nt+34,nt+35,nt+36
0,221,0,0.11,0.79,0.79,221,293,277,304,323,344,363,388,411,437,465,494,524,557,592,629,669,711,755,802,852,906,963,1023,1087,1155,1227,1304,1386,1472,1564,1662,1766,1877,1994,2119,2252
1,197,0.7,0.01,0.99,0.78,197,175,232,220,241,256,272,287,307,325,346,368,391,415,441,469,498,529,562,598,635,675,717,762,809,860,914,971,1032,1097,1165,1238,1316,1398,1485,1578,1677
2,195,0.6,0.05,0.95,0.75,195,195,173,229,217,238,253,269,285,304,322,342,364,387,411,437,464,493,524,557,591,628,668,710,754,801,851,905,961,1021,1085,1153,1226,1302,1384,1470,1562
3,186,0.3,1.00,0.80,0.60,186,186,186,165,219,207,227,241,257,271,290,307,327,347,369,392,416,443,470,500,531,564,599,637,677,719,764,812,863,917,974,1035,1100,1169,1242,1320,1402
4,0,0,#DIV/0!,0.30,0.18,0,149,149,149,132,175,166,182,193,205,217,232,246,261,278,295,314,333,354,376,400,425,451,480,510,541,575,611,650,690,734,779,828,880,935,994,1056
5,0,0,#DIV/0!,0.30,0.05,0,0,45,45,45,40,52,50,55,58,62,65,70,74,78,83,89,94,100,106,113,120,127,135,144,153,162,173,183,195,207,220,234,248,264,281,298
6,0,0,#DIV/0!,0.30,0.02,0,0,0,13,13,13,12,16,15,16,17,18,20,21,22,24,25,27,28,30,32,34,36,38,41,43,46,49,52,55,58,62,66,70,75,79,84
7,0,0,#DIV/0!,0.30,0.00,0,0,0,0,4,4,4,4,5,4,5,5,6,6,6,7,7,7,8,8,9,10,10,11,11,12,13,14,15,16,17,18,19,20,21,22,24
8,0,0,#DIV/0!,0.30,0.00,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,7
9,0,0,#DIV/0!,0.30,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
10,0,0,#DIV/0!,0,0.00,799,997,1062,1125,1194,1278,1351,1438,1528,1624,1725,1834,1948,2070,2200,2337,2484,2639,2804,2980,3166,3365,3575,3799,4037,4290,4558,4843,5146,5469,5811,6175,6561,6972,7408,7872,8365
,799,,,,lambda,,1.248,1.064,1.060,1.061,1.071,1.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r,,0.222,0.062,0.058,0.059,0.068,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
